Year,Make,Model,Used/New,Price,SellerType,State,InteriorColor,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission
2021,Chevrolet,Tahoe Z71,Used,"$70,490",Dealer,GA,Black,Four-wheel Drive,16,20,Gasoline,10-Speed Automatic
2021,Genesis,GV80 2.5T,Used,"$68,988",Dealer,GA,Black,All-wheel Drive,21,25,Gasoline,8-Speed Automatic
2017,Acura,MDX 3.5L w/Advance Package,Used,"$24,950",Dealer,MI,Graystone,All-wheel Drive,19,26,Gasoline,9-Speed Automatic
2007,Toyota,RAV4 Sport,Used,"$8,500",Dealer,OH,Black,Four-wheel Drive,21,28,Gasoline,5-Speed Automatic
2015,Chevrolet,Suburban 1500 LT,Used,"$33,895",Dealer,OH,Jet Black,Four-wheel Drive,15,22,Gasoline,6-Speed Automatic
2016,Ford,F-150 XLT,Used,"$34,997",Dealer,PA,Black,Four-wheel Drive,17,23,Gasoline,6-Speed Automatic
2020,Acura,MDX 3.5L w/Technology Package,Used,"$45,996",Dealer,NC,Ebony,Front-wheel Drive,20,27,Gasoline,9-Speed Automatic
2019,Toyota,Tundra SR5,Used,"$39,989",Dealer,PA,Black,Four-wheel Drive,13,17,Gasoline,6-Speed Automatic
2021,Cadillac,Escalade Sport,Used,"$107,998",Dealer,FL,Black,Four-wheel Drive,14,19,Gasoline,10-Speed Automatic
2020,Chrysler,300 S,Used,"$34,000",Dealer,GA,Black,Rear-wheel Drive,19,30,Gasoline,8-Speed Automatic
2021,Chrysler,300 S,Used,"$28,500",Dealer,FL,Black,Rear-wheel Drive,19,30,Gasoline,8-Speed Automatic
2013,Mercedes-Benz,SL-Class SL 550,Used,"$39,785",Dealer,FL,Black,Rear-wheel Drive,17,25,Gasoline,Automatic
2020,INFINITI,QX60 Pure,Used,"$31,599",Dealer,FL,Graphite,Front-wheel Drive,20,27,Gasoline,Automatic CVT
2020,INFINITI,QX60 Pure,Used,"$29,449",Dealer,FL,Graphite,Front-wheel Drive,20,27,Gasoline,Automatic CVT
2012,Kia,Sorento SX,Used,"$4,995",Dealer,NY,Black,All-wheel Drive,18,24,Gasoline,Automatic
2003,Ford,Taurus SES,Used,"$4,388",Dealer,VA,Tan,Front-wheel Drive,20,27,Gasoline,4-Speed Automatic
2020,Lexus,RX 350 Base,Used,"$47,988",Dealer,VA,Black,All-wheel Drive,19,26,Gasoline,8-Speed Automatic
2020,Kia,Sorento LX,Used,"$28,933",Dealer,FL,Black,Front-wheel Drive,22,29,Gasoline,6-Speed Automatic
2010,Lexus,LS 460 Base,Used,"$19,990",Dealer,MD,Beige,Rear-wheel Drive,16,24,Gasoline,8-Speed Automatic
2019,Chevrolet,Silverado 1500 Custom,Used,"$30,490",Dealer,FL,Gideon,Rear-wheel Drive,16,21,Gasoline,6-Speed Automatic
2015,BMW,328 i,Used,"$15,899",Dealer,FL,Brown,Rear-wheel Drive,23,35,Gasoline,8-Speed Automatic
2021,Land,Rover Range Rover Sport HSE Silver Edition,Used,"$86,995",Dealer,PA,Ebony,Four-wheel Drive,19,24,Gasoline,Automatic
2018,BMW,320 320i xDrive,Used,"$22,950",Dealer,PA,Black,All-wheel Drive,23,34,Gasoline,Automatic
2002,BMW,540 i,Used,"$22,900",Private,PA,Beige,Rear-wheel Drive,15,23,Gasoline Fuel,6-Speed M/T
2016,Porsche,Cayenne Base,Used,"$28,900",Dealer,NJ,BROWN,All-wheel Drive,19,24,Gasoline,8 speed tiptronic s automatic
2019,Mazda,Mazda3 AWD w/Preferred Package,Used,"$16,499",Dealer,PA,Black,All-wheel Drive,25,33,Gasoline,6-Speed Automatic
2018,BMW,320 i xDrive,Used,"$24,985",Dealer,NJ,Venetian Beige,All-wheel Drive,23,34,Gasoline,8-Speed Automatic
2020,Hyundai,Santa Fe SEL 2.4,Used,"$28,459",Dealer,NJ,Espresso,All-wheel Drive,21,27,Gasoline,8-Speed Automatic
2020,Hyundai,Santa Fe SEL 2.4,Used,"$31,991",Dealer,NY,Black,All-wheel Drive,21,27,Gasoline,8-Speed Automatic
2013,Toyota,Highlander Base Plus,Used,"$20,700",Dealer,NY,Black,All-wheel Drive,17,22,Gasoline,5-Speed Automatic
2019,Jeep,Grand Cherokee Altitude,Used,"$33,750",Dealer,NY,Black,Four-wheel Drive,18,25,Gasoline,8-Speed Automatic
2020,Acura,MDX 3.5L,Used,"$39,412",Dealer,NY,Ebony,All-wheel Drive,19,26,Gasoline,9-Speed Automatic
2017,BMW,M3 Base,Used,"$55,863",Dealer,NY,Sakhir Orange,Rear-wheel Drive,17,26,Gasoline,7-Speed Automatic with Auto-Shift
2020,Toyota,Tacoma SR,Used,"$33,888",Dealer,NY,Cement,Four-wheel Drive,18,22,Gasoline,6-Speed Automatic
2020,Acura,MDX 3.5L w/Technology Package,Used,"$39,900",Dealer,MA,Espresso,All-wheel Drive,19,26,Gasoline,9-Speed Automatic
2021,Tesla,Model Y Long Range,Used,"$71,277",Dealer,NH,White / Black,All-wheel Drive,131,117,Electric,1-Speed Automatic
2013,Porsche,Boxster S,Used,"$57,900",Dealer,MA,Black,Rear-wheel Drive,20,28,Gasoline,7-Speed Automatic with Auto-Shift
2010,Mazda,Mazda6 s Grand Touring,Used,"$9,899",Dealer,MA,Black,Front-wheel Drive,17,25,Gasoline,6-Speed Automatic
2018,Toyota,4Runner Limited,Used,"$39,919",Dealer,MA,Black,Four-wheel Drive,17,20,Gasoline,5-Speed Automatic
2019,Subaru,Forester,Used,"$26,200",Dealer,NH,Black,All-wheel Drive,26,33,Gasoline,Automatic CVT
2020,Tesla,Model Y Long Range,Used,"$73,992",Dealer,CA,White / Black,All-wheel Drive,127,114,Electric,1-Speed Automatic
2019,BMW,X3 sDrive30i,Used,"$35,400",Dealer,CA,Canberra Beige,Rear-wheel Drive,23,30,Gasoline,8-Speed Automatic
2019,BMW,X3 sDrive30i,Used,"$31,995",Dealer,CA,Black,Rear-wheel Drive,23,30,Gasoline,8-Speed Automatic
2012,Toyota,4Runner Limited,Used,"$24,999",Dealer,CA,Black / Graphite,Four-wheel Drive,17,22,Gasoline,5-Speed Automatic
2019,BMW,X5 xDrive40i,Used,"$54,998",Dealer,CA,Black,All-wheel Drive,20,26,Gasoline,8-Speed Automatic
2020,Toyota,Corolla SE,Used,"$18,500",Dealer,AZ,Black,Front-wheel Drive,31,40,Gasoline,Automatic CVT
2022,Honda,Pilot Elite,Used,"$41,300",Dealer,UT,Black,All-wheel Drive,19,26,Gasoline,9-Speed Automatic
